"code","run_count","mn_dstn","imd","d_income","d_employment","d_education","d_health","d_crime","d_housing","d_enviroment","total_pop","perc_non_working_age","pop_density","perc_bme"
"E01000001",40,3.325,6.208,0.007,0.01,0.024,-1.654,-2.012,29.472,31.873,1296,0.493827160493827,9969.23,0.154948805460751
"E01000002",39,3.381,5.143,0.034,0.027,0.063,-1.115,-2.343,24.412,23.084,1156,0.498269896193772,5026.09,0.112813370473538
"E01000003",27,3.061,19.402,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535,1350,0.437777777777778,22500,0.216196136701337
"E01000005",2,2.463,28.652,0.211,0.136,22.26,-0.121,-1.317,39.9,28.979,1121,0.382694023193577,5900,0.486294416243655
"E01000006",109,0.783,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,2040,0.36421568627451,13600,0.672930123311803
"E01000007",122,0.775,31.576,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,2101,0.322227510709186,10505,0.684399712437096
"E01000008",54,1.08,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233,1566,0.386334610472541,7830,0.685880829015544
"E01000009",96,0.618,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1775,0.329577464788732,13653.85,0.761985335589397
"E01000010",264,1.089,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.932,3195,0.30735524256651,9128.57,0.714084507042253
"E01000011",14,0.424,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,1670,0.353892215568862,18555.56,0.788249694002448
"E01000012",22,0.809,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,2023,0.390509144834404,14450,0.718569174118885
"E01000013",23,4.02,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.424,1747,0.405838580423583,8319.05,0.313855421686747
"E01000014",15,4.076,35.67,0.201,0.135,31.501,0.35,0.825,46.135,25.122,1669,0.374475733972439,4908.82,0.25
"E01000015",18,3.473,33.632,0.216,0.123,26.013,0.025,0.372,50.4,25.696,2372,0.3929173693086,8471.43,0.335118250780901
"E01000016",18,3.503,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,1750,0.392,8750,0.29505192425168
"E01000017",23,3.852,39.004,0.25,0.169,22.899,0.694,0.317,45.929,27.688,1516,0.405672823218997,9475,0.306148055207026
"E01000018",60,3.57,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,1791,0.3785594639866,10535.29,0.283656856606136
"E01000019",48,2.89,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,1498,0.417222963951936,8322.22,0.443496801705757
"E01000020",95,3.043,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,1947,0.391371340523883,10247.37,0.350054525627045
"E01000021",6,2.39,38.888,0.23,0.136,31.637,0.418,0.559,45.544,44.214,1682,0.377526753864447,9894.12,0.458518049398353
"E01000022",36,2.714,34.413,0.195,0.139,27.111,0.427,0.506,44.277,30.435,1372,0.400874635568513,10553.85,0.365296803652968
"E01000023",12,2.044,36.877,0.228,0.108,22.994,0.033,1.286,45.846,39.968,2791,0.367968470082408,13290.48,0.446043165467626
"E01000024",2,2.593,29.339,0.155,0.1,29.298,0.263,0.244,45.704,29.869,1535,0.424104234527687,11807.69,0.440868263473054
"E01000025",50,2.365,36.702,0.219,0.138,25.691,0.395,0.837,47.029,28.042,1637,0.379352474037874,10913.33,0.307644499689248
"E01000027",60,3.769,37.347,0.216,0.146,38.122,0.148,1.042,44.976,20.329,1858,0.426264800861141,1263.95,0.283206553540082
"E01000028",9,4.287,40.078,0.26,0.155,27.699,1.138,-0.111,48.625,16.282,1629,0.432166973603438,11635.71,0.420916720464816
"E01000029",14,3.989,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,1737,0.490500863557858,6680.77,0.361423220973783
"E01000030",7,3.8,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993,2155,0.431554524361949,7431.03,0.343080939947781
"E01000031",29,3.81,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703,1716,0.404428904428904,2042.86,0.501546072974644
"E01000032",93,4.106,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369,1755,0.417663817663818,4618.42,0.376918354818907
"E01000033",0,2.578,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,1520,0.440131578947368,10133.33,0.240264511388685
"E01000034",10,2.19,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01,1502,0.430093209054594,2945.1,0.235457063711911
"E01000035",71,2.677,26.175,0.15,0.092,25.536,0.397,0.242,39.025,23.071,1799,0.397443023902168,4497.5,0.329192546583851
"E01000036",0,2.943,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612,1493,0.379102478231748,3554.76,0.420546932742055
"E01000037",37,1.462,17.988,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057,1931,0.330916623511134,8395.65,0.165876777251185
"E01000038",34,1.97,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,1446,0.428077455048409,6885.71,0.165169315825847
"E01000039",47,1.355,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527,1657,0.420639710319855,1083.01,0.197754210854648
"E01000040",58,1.339,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,1711,0.409117475160725,10064.71,0.425748884639898
"E01000041",22,2.361,33.173,0.172,0.105,33.867,0.349,0.432,48.606,33.127,1755,0.421652421652422,11700,0.33115338882283
"E01000042",51,1.746,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75,1986,0.389224572004028,8634.78,0.457494407158837
"E01000043",4,1.626,28.075,0.147,0.085,28.946,0.044,0.574,42.921,33.853,1516,0.390501319261214,5614.81,0.474226804123711
"E01000044",12,1.213,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,1895,0.384696569920844,11147.06,0.565072302558398
"E01000045",37,2.301,35.688,0.188,0.125,24.013,0.279,1.214,44.514,35.245,1710,0.411695906432749,5700,0.409090909090909
"E01000046",4,2.677,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,1963,0.415180845644422,12268.75,0.264193367060146
"E01000048",0,1.588,44.704,0.341,0.182,26.49,0.495,0.246,49.012,20.578,1757,0.428571428571429,29283.33,0.628715647784633
"E01000049",7,1.71,41.172,0.29,0.143,27.852,0.409,0.376,55.298,26.588,1923,0.441497659906396,9157.14,0.625274725274725
"E01000050",64,1.237,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,1933,0.433523021210554,13807.14,0.614689945815774
"E01000051",0,1.321,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,1144,0.390734265734266,16342.86,0.644006227296316
"E01000052",17,1.574,33.284,0.188,0.111,27.403,-0.153,0.335,51.774,38.532,2134,0.409559512652296,10670,0.535253227408143
"E01000053",0,4.328,40.044,0.229,0.126,27.703,0.701,1.217,49.479,26.503,1670,0.419161676646707,9277.78,0.394612794612795
"E01000054",62,3.47,29.788,0.18,0.096,26.697,0.198,0.514,42.507,31.481,1831,0.423812124522119,10770.59,0.287543655413271
